metro,metro2,country,rank_300,gmm14_2005_pop,gmm14_2015_pop,tot_emp2005,tot_emp2015,gmm14_2005_nomgdp,gmm14_2015_nomgdp,gmm14_2000_realgdp,gmm14_2005_realgdp,gmm14_2015_realgdp,gdp_pc_real2000,gdp_pc_real2005,gdp_pc_real2015,productivity2005,productivity2015,share_population_laborforce15,share_population_laborforce05,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_emp15,compound_growth_pop15,compound_growth_producti_15,comp_growth_realgdp00_07,comp_growth_real_gdp_pc00_07,comp_growth_emp00_07,comp_growth_realgdp08_10,comp_growth_real_gdp_pc08_10,comp_growth_emp08_10,comp_growth_realgdp10_15,comp_growth_real_gdp_pc10_15,comp_growth_emp10_15,share_rgva2005business,share_rgva2005commodities,share_rgva2005construction,share_rgva2005local,share_rgva2005manufacturing,share_rgva2005trade,share_rgva2005transportation,share_rgva2005utilities,share_rgva2000business,share_rgva2000commodities,share_rgva2000construction,share_rgva2000local,share_rgva2000manufacturing,share_rgva2000trade,share_rgva2000transportation,share_rgva2000utilities,share_rgva2015business,share_rgva2015commodities,share_rgva2015construction,share_rgva2015local,share_rgva2015manufacturing,share_rgva2015trade,share_rgva2015transportation,share_rgva2015utilities,sector_prod2005business,sector_prod2005commodities,sector_prod2005construction,sector_prod2005local,sector_prod2005manufacturing,sector_prod2005trade,sector_prod2005transportation,sector_prod2005utilities,sec_gr_prod_0015business,sec_gr_prod_0015commodities,sec_gr_prod_0015construction,sec_gr_prod_0015local,sec_gr_prod_0015manufacturing,sec_gr_prod_0015trade,sec_gr_prod_0015transportation,sec_gr_prod_0015utilities,rgva_growth0007business,rgva_growth0007commodities,rgva_growth0007construction,rgva_growth0007local,rgva_growth0007manufacturing,rgva_growth0007trade,rgva_growth0007transportation,rgva_growth0007utilities,rgva_growth0810business,rgva_growth0810commodities,rgva_growth0810construction,rgva_growth0810local,rgva_growth0810manufacturing,rgva_growth0810trade,rgva_growth0810transportation,rgva_growth0810utilities,rgva_growth1015business,rgva_growth1015commodities,rgva_growth1015construction,rgva_growth1015local,rgva_growth1015manufacturing,rgva_growth1015trade,rgva_growth1015transportation,rgva_growth1015utilities,sec_gr_emp_0015business,sec_gr_emp_0015commodities,sec_gr_emp_0015construction,sec_gr_emp_0015local,sec_gr_emp_0015manufacturing,sec_gr_emp_0015trade,sec_gr_emp_0015transportation,sec_gr_emp_0015utilities,sec_gr_gdp_0015business,sec_gr_gdp_0015commodities,sec_gr_gdp_0015construction,sec_gr_gdp_0015local,sec_gr_gdp_0015manufacturing,sec_gr_gdp_0015trade,sec_gr_gdp_0015transportation,sec_gr_gdp_0015utilities,share_emp2000business,share_emp2000commodities,share_emp2000construction,share_emp2000local,share_emp2000manufacturing,share_emp2000trade,share_emp2000transportation,share_emp2000utilities,share_emp2015business,share_emp2015commodities,share_emp2015construction,share_emp2015local,share_emp2015manufacturing,share_emp2015trade,share_emp2015transportation,share_emp2015utilities,sector_prod2015business,sector_prod2015commodities,sector_prod2015construction,sector_prod2015local,sector_prod2015manufacturing,sector_prod2015trade,sector_prod2015transportation,sector_prod2015utilities,share_tradable2000,share_tradable2015,growth_tradable0015,gmm14_2009_pop,gmm14_2011_pop,tot_emp2009,fdi_stockvalue15,fdi_stockjobs15,fdi_stockvalue09,fdi_stockjobs09,fdi_stockvalue11,fdi_stockjobs11,fdipc09,fdipc15,fdipc11,fdipc_gr11_15,stock_gr_11_15,mean_citation_score09,share_top10publications_1013,mean_citation_score13,patent07,patent12,patentspc07,patentspc12,share_national_patents07,share_national_patents12,stockvc06,stockvc10,stockvc15,vcpc06,vcpc10,vcpc15,vcpc_gr,stock_vc_gr10_15,pass04,pass15,passengerspc04,passengerspc15,down08,down15,sharepop_tertiaryeducation,share_foreignborn_15,label_cluster
Dallas,"Dallas-Fort Worth-Arlington, TX",USA,17,5776.543,7102.796,2861.83,3453.55,282906.7,458042.7,275623.3,299799.9,415666.8,52646.23,51899.54,58521.57,104.7581,120.3593,0.486224,0.4954226,0.0277685,0.0070783,0.0127956,0.0205447,0.0147837,0.025169,0.0034523,0.0092856,0.0061219,-0.0132712,-0.0183179,0.0432273,0.0235477,0.0303941,0.3131471,0.0363856,0.0546075,0.2137186,0.1351214,0.1880319,0.0435206,0.0154673,0.3179124,0.0431546,0.0610749,0.2080556,0.1127628,0.190617,0.0445996,0.0218229,0.3367501,0.0520635,0.0433776,0.2086932,0.1313712,0.1730649,0.0389004,0.0157791,186.8244,261.1148,108.0363,63.71869,139.174,80.35484,103.2264,533.6496,0.0151761,0.0089447,-0.0023254,0.0054711,0.0579118,0.0072291,0.0065835,0.0020353,0.0101997,0.0052998,-0.0007846,0.0121703,0.0268934,0.0086266,0.0081043,-0.0106924,0.0141256,0.0529642,-0.05933,0.0179397,0.0095539,-0.0314525,-0.0159724,-0.0471776,0.0475939,0.0612863,0.0439846,0.0321378,0.0339539,0.0509493,0.0326262,0.0553076,0.0152751,0.0304452,0.005919,0.0213567,-0.0195368,0.0128226,0.010765,0.0027364,0.0306831,0.0396622,0.0035799,0.0269447,0.0372435,0.0201443,0.0174194,0.0047772,0.1796559,0.0133782,0.0548162,0.328158,0.1239357,0.2499878,0.0467185,0.0033498,0.1863676,0.0173358,0.0494911,0.3723212,0.0761796,0.2500876,0.0453331,0.002884,217.4787,361.4679,105.4915,67.46368,207.5588,83.29067,103.2806,658.5201,0.5184294,0.5590852,0.0050459,6341.74,6574.298,2974.11,5463.0479,27330,1141.4595,4253,2269.2654,9681,179.9915,769.1405,345.1723,1.22828,1.407408,8.992468,0.159675,9.773397,4128.0811,4168.3125,0.6787478,0.6212499,0.017405,0.0166779,1126.1726,4382.7949,6118.8882,0.1895035,0.6786973,0.861476,0.2693081,0.3961156,89428888,97232664,15782.5,13974.04,5.503816,27.72445,33.82046,17.46,2
Delhi,Delhi,India,38,19420,23513.4,4888.9,6775.1,144552.5,396449.2,27650.2,40633.3,95437.5,1647.483,2092.343,4058.856,8.311338,14.08651,0.2881378,0.2517456,0.0860956,0.0619535,0.0299713,0.0227336,0.0544912,0.0832639,0.0551373,0.0265678,0.0876624,0.0673884,0.033806,0.0834516,0.0627634,0.0324124,0.391057,0.0103789,0.1256281,0.1592443,0.085495,0.1461214,0.0630457,0.0190297,0.3833425,0.016206,0.1074201,0.1797393,0.1026481,0.1369992,0.0553822,0.0182625,0.5116816,0.0064215,0.0520739,0.1360421,0.0604687,0.167086,0.0577348,0.0084913,62.75462,2.483709,8.18509,5.136391,3.160681,4.118975,7.379405,108.4776,-0.0543834,0.0885869,-0.0633064,0.0620656,0.052113,0.0752742,0.0590875,0.0928514,0.045287,-0.0089884,0.0376543,0.0169949,0.0200222,0.0421591,0.0469711,0.0493436,0.1550535,0.1613945,-0.0400724,0.0609065,0.0692864,0.0410711,0.0822453,-0.2390155,0.0855365,0.0278565,0.001454,0.0571941,0.0420304,0.1419306,0.052826,-0.0306373,0.1682237,-0.0641318,0.1023471,0.0015307,-0.0057479,0.0211961,0.0260131,-0.0577923,0.1046918,0.0187739,0.0325615,0.0636913,0.0460656,0.0980659,0.0866377,0.029693,0.0255603,0.0576485,0.074842,0.23572,0.2761062,0.2664521,0.0607516,0.0029192,0.169075,0.0136972,0.2072737,0.1548759,0.1626101,0.2343582,0.0573423,0.0007675,39.34369,6.094827,3.266111,11.41942,4.834347,9.268611,13.08932,143.8269,0.5575788,0.6363066,0.008844,20955.7,21753,5587.5,7320.0215,31205,1873.6968,6375,4115.0063,19345,89.41228,311.3127,189.1696,0.6456806,0.7788603,3.321514,0.0736817,4.902492,383.48648,447.93198,0.0190062,0.0202195,0.0737588,0.0523947,6.6130824,535.92139,1985.0872,0.0003341,0.0250986,0.0844237,2.363673,2.704064,12099160,39967944,635.0699,1734.727,0.3245402,4.033063,14.9,,3
Denver,"Denver-Aurora-Lakewood, CO",USA,73,2332.749,2814.33,1204.67,1413.39,122885.4,179881.6,123259,132100.9,162982.6,56209.73,56628.86,57911.7,109.6573,115.3133,0.5022119,0.5164165,0.0187982,0.0019906,0.0095021,0.0167742,0.0092086,0.0148036,0.0006916,0.0034606,0.0038734,-0.0143284,-0.0236488,0.0310152,0.0113369,0.0315842,0.3941475,0.0309986,0.0618921,0.24718,0.0655342,0.155203,0.0340997,0.0109449,0.3825963,0.019879,0.0829104,0.2481101,0.0626747,0.1544648,0.0351903,0.0141743,0.4235363,0.0565998,0.0435075,0.2327558,0.0606598,0.1426315,0.0301814,0.0101279,202.5375,354.4996,97.20274,74.61463,120.4802,71.3573,99.41766,386.4814,0.0185894,0.059244,-0.0197214,-0.0049522,0.0322954,0.0024391,0.0092173,-0.004273,0.0108529,0.032406,-0.0238115,0.003419,0.0141115,0.0080181,0.0008218,-0.0156199,0.0216366,0.0706012,-0.1022808,0.0070875,-0.0163079,-0.0315772,-0.0061493,0.0464742,0.0307399,0.1153556,0.0528442,0.0210608,0.0080309,0.0288093,0.0258293,0.0055571,0.0061452,0.0304219,-0.0052881,0.0186452,-0.016065,0.0100686,-0.0016421,-0.0003593,0.0248488,0.0914682,-0.0249052,0.0136007,0.0157116,0.0125322,0.00756,-0.0046308,0.2257554,0.0093521,0.0731618,0.3413075,0.0708462,0.2360289,0.040515,0.0030331,0.2147532,0.0127212,0.0586321,0.3907343,0.0482174,0.2380235,0.0343005,0.0026178,227.4209,513.0579,85.5674,68.69074,145.0697,69.09949,101.4653,446.127,0.5003403,0.5709773,0.0088429,2509.417,2601.104,1215.69,1558.3514,6255,453.4437,1180,760.48474,2657,180.6968,553.7202,292.37,0.8939023,1.049155,9.474274,0.1757334,10.40734,1638.4822,1854.1432,0.6774266,0.7000777,0.0069082,0.0074187,713.30872,2894.2002,4041.5122,0.3004425,1.132399,1.436048,0.2681459,0.3964176,61269628,81332384,26583.28,29512.57,8.126903,35.32263,42.58893,12.12,2
Detroit,"Detroit-Warren-Dearborn, MI",USA,53,4431.048,4302.043,2060.57,1952.81,193121.3,218080.4,205255.4,210047.3,200597.8,46067.84,47403.52,46628.48,101.9365,102.7226,0.4539262,0.46503,-0.001529,0.0008068,-0.0085571,-0.0023339,0.0070887,-0.0033135,-0.000783,-0.0163157,-0.0253597,-0.0199629,-0.043452,0.0236026,0.0231166,0.0217856,0.3452285,0.0021741,0.0433203,0.2404728,0.173817,0.1540363,0.027946,0.013005,0.3386679,0.002038,0.0579293,0.2344705,0.178508,0.1453432,0.0278446,0.0151986,0.3456363,0.0021204,0.0290622,0.2267701,0.2019089,0.1548276,0.0264851,0.0131894,194.0361,64.88952,109.8352,64.78069,132.4695,68.82595,100.7311,407.1902,0.0003721,0.0129581,-0.02214,-0.0015775,0.0376976,0.0072187,-0.0002221,-0.0172284,-0.0023927,-0.0002543,-0.0383425,-0.0001951,0.0000495,0.0012827,-0.0017843,-0.0002043,-0.0202812,0.0440172,-0.0842949,-0.0209877,-0.0325221,-0.0321479,-0.0306753,-0.0349496,0.0245166,-0.0057126,0.0400264,-0.0042542,0.065141,0.019807,0.0161356,-0.0171486,-0.0016817,-0.0128187,-0.0259239,-0.0033109,-0.0309713,-0.0056315,-0.0057672,0.0052711,-0.0013103,-0.0000266,-0.0474899,-0.0048831,0.0055587,0.0015466,-0.005988,-0.0120481,0.1749592,0.0035562,0.0428946,0.3506295,0.1715065,0.224624,0.0291966,0.0026334,0.1940691,0.0033337,0.0329064,0.3795146,0.1217067,0.2347745,0.0304536,0.0032415,182.9486,65.3364,90.72222,61.37949,170.4147,67.74286,89.33681,417.9731,0.5470585,0.5761507,0.0034602,4311.728,4287.427,1758.12,4765.9419,20572,211.5932,861,1654.6119,6497,49.07388,1107.832,385.9219,1.870613,1.880399,7.204322,0.1303281,8.10133,3626.147,3148.3276,0.8284329,0.7331839,0.0152887,0.0125968,141.87015,429.26639,762.49908,0.0321723,0.1000191,0.1772412,0.7720726,0.7762842,50213504,45573496,11294.37,10594.84,6.857078,29.23072,33.21073,8.98,6
Dongguan,Dongguan,China,93,6781.6,8465.7,503.0857,1241.68,77174.6,186042.1,13640.8,32579,89279.6,2085.048,4804.028,10546.04,64.75835,71.90227,0.1466719,0.0741839,0.1334286,0.1141189,0.0960054,0.0173318,0.034145,0.1892812,0.1694824,0.162425,0.0777103,0.0379268,0.0548505,0.0799467,0.073792,0.0156836,0.1428032,0.008997,0.0468333,0.0981186,0.4492085,0.1222798,0.0937934,0.0379663,0.1446692,0.0271774,0.0662164,0.085001,0.3916689,0.1419574,0.0998023,0.0435073,0.1853176,0.0060183,0.0329433,0.1039872,0.426906,0.1518592,0.0780956,0.0148727,76.40348,82.79438,47.88677,19.74341,103.8649,75.69109,70.74836,98.882,0.0204636,-0.033426,0.0168867,0.049465,0.0361772,0.0538484,0.0242151,0.0029944,0.0899247,-0.0005792,0.0505134,0.0926254,0.0978747,0.0666979,0.0653962,0.0652872,0.0622194,0.0176343,0.0859163,0.0662182,0.0725712,0.1344158,0.0819177,0.014151,0.1120512,0.0410796,0.0648469,0.0783675,0.069242,0.1044173,0.0676078,0.0148204,0.1294012,0.0606994,0.0641199,0.094827,0.1003644,0.0805639,0.0888907,0.0522036,0.1525128,0.0252445,0.0820894,0.1489826,0.1401726,0.1387505,0.1152583,0.0553543,0.1183363,0.0076157,0.0749853,0.3181019,0.2261277,0.1335677,0.0954892,0.0257762,0.1856311,0.0046602,0.0481553,0.3130097,0.24,0.1079611,0.0866019,0.0139806,71.80608,92.8891,49.206,23.89557,127.9429,101.174,64.86261,76.51759,0.6633178,0.6963375,0.0032439,7932.2,8254.8,1120.171,5068.8628,16937,240.70676,1388,3316.5659,9837,30.34552,598.7529,401.7742,0.4902721,0.5283468,,,,3.3333333,3.9166667,0.000453,0.0004717,0.0001669,0.000053,,,,,,,,,4,2933498,0.000592,350.0302,2.210005,24.19969,4.3,,1
East Rand,East Rand,South Africa,212,2911.1,3305.7,1158.4,1250.3,43064.3,62491.9,18968.6,23456.8,30181.8,6878.413,8057.71,9130.229,20.24931,24.13965,0.3782255,0.3979252,0.031448,0.0190595,0.0104483,0.0121567,0.0207825,0.0489639,0.0382487,0.0184079,-0.0686058,-0.0837799,-0.116814,0.0483238,0.035793,0.0493032,0.1653039,0.0485159,0.0297745,0.243883,0.2551655,0.1052606,0.1317147,0.0203819,0.1480624,0.0640463,0.0237897,0.2552718,0.2627934,0.1042814,0.1184596,0.0232954,0.2147814,0.011628,0.0317114,0.2359952,0.240643,0.1128137,0.1370395,0.0153879,28.7346,33.91437,8.582597,20.85597,20.56664,9.616707,29.03375,46.12871,0.0042539,-0.0254377,0.0178294,0.0081768,0.0281928,0.0441348,0.0223666,0.0170483,0.033699,-0.0115342,0.0454504,0.0177774,0.020026,0.0225468,0.0293986,0.0072328,0.0245876,0.0881378,-0.0520776,-0.1346333,-0.0676292,-0.1039637,-0.1167433,-0.0719217,0.0438005,-0.2094453,0.0186138,0.0715338,0.0372027,0.0812926,0.0785673,0.0212655,0.0520738,-0.0561332,0.0322061,0.0169734,-0.003458,-0.0077068,0.0179614,-0.0142384,0.0565492,-0.080143,0.0506097,0.025289,0.0246373,0.0360879,0.0407297,0.0025671,0.0991774,0.0375771,0.0489811,0.2167695,0.2436904,0.2559357,0.0891755,0.0086932,0.1817164,0.0135168,0.0674238,0.2387427,0.1979525,0.1949932,0.0996561,0.0059986,27.68222,20.14793,11.01542,23.15109,28.47152,13.55004,32.20626,60.08,0.5933617,0.6040919,0.0011955,3062.1,3165.5,1150.6,510.08542,3741,52.695545,300,182.12581,1066,17.20896,154.3048,57.53461,1.681948,1.800731,,,,1165.8143,911.79462,0.3934309,0.284669,0.5707853,0.5143424,,,,,,,,,16083805,23960372,5571.693,7307.665,1.622374,4.017612,3.6,7.3,3
Foshan,Foshan,China,61,5995.6,7423.7,1843.871,2563.14,84739.5,234736.7,18961.9,37966.6,121053.1,3500.055,6332.411,16306.3,20.5907,47.22844,0.3452645,0.3075373,0.1315479,0.1080313,0.0339982,0.0212237,0.0943422,0.1612333,0.1323017,0.0433541,0.1389935,0.0971379,0.0187614,0.0845639,0.0780521,0.0145925,0.1223419,0.0403387,0.0498285,0.0840586,0.4779243,0.1047614,0.0803531,0.0403936,0.139879,0.0741801,0.0620721,0.0821764,0.3671552,0.1372582,0.0964976,0.0407813,0.1211779,0.0190091,0.0445134,0.0679973,0.5768397,0.0992993,0.0510666,0.0200968,28.30093,177.2968,11.36559,7.327094,24.75746,28.10244,26.23538,23.55098,0.0604146,0.0474648,0.0866566,0.0906708,0.1071776,0.0951112,0.0645158,0.0731386,0.0612241,0.0058254,0.0514779,0.0638635,0.0988857,0.0386082,0.037344,0.0662731,0.153436,0.0116873,0.1403549,0.157792,0.1263369,0.2318416,0.1748227,0.064974,0.091648,0.0520602,0.0878553,0.0585824,0.0923455,0.0841536,0.0480236,0.0367632,0.0551766,-0.0150936,0.0168028,0.0227717,0.0515239,0.0095435,0.0171351,0.0041794,0.1189246,0.0316548,0.1049154,0.1155072,0.1642237,0.1055624,0.0827564,0.0776237,0.0930756,0.0060701,0.107464,0.2506744,0.3250899,0.104991,0.0753148,0.0373201,0.1261584,0.0029264,0.0835636,0.2128109,0.4183061,0.0733214,0.0588522,0.0240611,45.23946,305.9467,25.08902,15.04902,64.94879,63.78603,40.86803,39.33873,0.6777119,0.7680933,0.0083809,6937.1,7231,2355.514,6080.27,16517,1065.2756,5300,2261.3369,8333,153.5621,819.035,312.7281,1.619,1.688794,5.078941,0.1153566,7.376812,1.25,4.1500001,0.0001934,0.0005707,0.0000626,0.0000561,,,,,,,,,,282694,,38.45078,3.207679,29.42906,7.8,,1
Frankfurt am Main,Rhein-Main,Germany,46,4275,4482.6,2315.8,2533.1,207711.1,270396.2,246207.8,246981.1,272810.9,58421.99,57773.36,60859.97,106.6504,107.6984,0.5650961,0.5417076,0.0068636,0.0027293,0.0054981,0.0041231,0.001358,0.0102651,0.007961,0.0018208,-0.0209687,-0.0230958,0.0025047,0.0136452,0.0056228,0.0104749,0.3654553,0.0029827,0.0316173,0.2207882,0.1716399,0.1185963,0.0614826,0.0274378,0.3870525,0.0029918,0.0394675,0.2151144,0.1724833,0.1029122,0.0546585,0.0253197,0.3600613,0.0027752,0.0306675,0.2321013,0.1792753,0.1125453,0.0631991,0.0193751,169.6422,30.20091,65.158,63.74014,113.1403,62.17068,86.94834,250.3786,-0.0045637,0.0142023,-0.0093752,-0.0040917,0.0224801,0.0113936,0.0083104,-0.0058854,0.0025322,0.0155515,-0.0135158,0.0054552,0.0053895,0.0175723,0.0165979,-0.0144146,-0.0457568,-0.1692751,0.0113445,-0.0042519,-0.0073884,-0.0406113,0.005161,0.042363,0.0126234,0.0063068,0.0111118,0.0142727,0.0226949,0.0090233,0.0021439,-0.005338,0.0066805,-0.012135,-0.0004955,0.0162,-0.0126722,0.0015404,0.0083407,-0.0050212,0.0020863,0.001895,-0.0098661,0.012042,0.009523,0.0129516,0.0167204,-0.010877,0.1950624,0.010501,0.0520766,0.3092881,0.1678882,0.1871759,0.0662209,0.0117869,0.1985314,0.0080534,0.0476096,0.3625202,0.1277091,0.1764241,0.0690853,0.0100667,175.073,33.26471,62.18076,61.8041,135.5097,61.58022,88.30743,185.7922,0.6171861,0.6053109,-0.0012944,4295.8,4331.3,2405.5,8403.2129,24322,1838.3342,4984,4846.0254,13478,427.9376,1874.629,1118.839,0.6755134,0.7340423,7.045139,0.1398894,8.114006,5924.5898,6557.6812,1.383539,1.502952,0.0710226,0.0715635,37.063396,306.63818,384.39069,0.0086637,0.0711788,0.0857517,0.2047373,0.2535643,49306272,58221248,11560.67,13134.79,7.760861,32.26921,32.1,19.6,7
Fuzhou,Fuzhou,China,115,6762.7,7443.9,1544.286,2368.92,52486.5,159571.6,13496.6,23097.4,72419.3,2113.334,3415.411,9728.677,14.95669,30.5706,0.3182364,0.2283535,0.1185155,0.1071481,0.0484082,0.0102673,0.0668702,0.1200987,0.1075903,0.0587095,0.1359853,0.1247651,0.0525238,0.10714,0.0974039,0.0373024,0.1189983,0.1395024,0.0615774,0.0986853,0.3518178,0.1097213,0.1004226,0.019275,0.098564,0.1866099,0.0643375,0.0820355,0.3118135,0.1117987,0.1217173,0.0231236,0.1614984,0.0750679,0.0777474,0.0852859,0.3942365,0.1128922,0.08233,0.0109417,31.58742,113.3162,9.789733,7.134951,10.3518,35.22666,34.39562,9.983273,0.0585002,0.0425852,0.038978,0.0943747,0.0866408,0.0705463,0.0458668,0.0491343,0.0770684,0.0196249,0.0549068,0.0674927,0.0651968,0.0512356,0.0368319,0.0366068,0.148844,0.0509083,0.1403565,0.1580201,0.115401,0.2397117,0.1626709,0.0423733,0.124482,0.059598,0.1383257,0.0832413,0.1264306,0.0816333,0.0766954,0.0668349,0.0915589,0.0091704,0.0897241,0.0242369,0.045072,0.0450036,0.0414669,0.0137844,0.1554153,0.0521462,0.1321993,0.1208989,0.1356179,0.1187248,0.0892356,0.0635959,0.0496992,0.0214491,0.1022757,0.2409102,0.4449386,0.0609469,0.0466911,0.0330892,0.0910124,0.0121038,0.1826267,0.1697874,0.4241675,0.0580447,0.0422629,0.0199947,53.92549,188.4776,12.93744,15.26506,28.24529,59.10553,59.20044,16.63017,0.7187047,0.7131328,-0.0005187,7056.4,7194.6,1845.243,1300.0226,3156,180.81601,1127,554.36975,1955,25.6244,174.6427,77.05359,1.266509,1.345046,3.93251,0.1189941,8.04157,440.59393,1236.5194,0.0637738,0.1701063,0.022054,0.0167233,,55.618176,109.12773,,0.007809,0.01466,0.8773192,0.9620876,6362695,19173672,951.2888,2592.543,3.173278,17.64507,5.2,,1
Guangzhou,Guangzhou,China,19,9816.6,13154.5,3968.072,6657.12,183264.7,523553.7,42353.1,80816.5,247301.1,4197.2,8232.637,18799.73,20.36669,37.14836,0.5060717,0.4042206,0.1248365,0.1051285,0.0555377,0.0178331,0.0656526,0.1409824,0.1293221,0.0692196,0.124475,0.0619855,0.0569393,0.1030586,0.0955493,0.0384639,0.189237,0.0304988,0.031916,0.1300199,0.3061252,0.1620388,0.1242903,0.025874,0.1847184,0.0454528,0.0465675,0.1085252,0.2754469,0.1812587,0.1274342,0.0305963,0.2244513,0.0139185,0.024786,0.1259474,0.3211929,0.1839268,0.0945869,0.0111902,37.89133,116.724,8.098199,9.810927,17.62193,37.68862,35.11728,16.80101,0.0513045,0.0462053,0.0451867,0.0813526,0.0650219,0.0857914,0.055356,0.0318383,0.073473,0.021902,0.0292529,0.0761373,0.0756568,0.0505955,0.0493135,0.0437291,0.1086228,0.0136104,0.1316325,0.1127961,0.1177228,0.1839837,0.129182,0.0568445,0.1274782,0.0339278,0.0928979,0.0933296,0.0974085,0.1197356,0.0824177,0.0415626,0.0840296,-0.0063181,0.0319926,0.050684,0.0671338,0.0370641,0.0449598,0.0195188,0.1396453,0.0395953,0.078625,0.1361599,0.1365209,0.1260352,0.1028046,0.0519785,0.1006851,0.0071401,0.0973562,0.2712756,0.2945774,0.1137592,0.081484,0.0337225,0.150133,0.0028861,0.0694075,0.253155,0.3470376,0.0872899,0.0700583,0.0200328,55.6026,179.3628,13.28156,18.50342,34.4222,78.36645,50.2135,20.77521,0.6330523,0.6541496,0.0021879,11977.5,12751.4,5222.957,21120.396,62875,7697.9478,16427,16098.206,43153,642.7007,1605.564,1262.466,0.2717687,0.3119721,3.837974,0.0856356,5.695631,1317.3175,4604.4106,0.121489,0.3581304,0.0659385,0.0622723,32.304039,445.96539,540.63171,0.0031353,0.03508,0.0410986,0.1715672,0.2122728,30750818,82050296,3101.663,6300.801,2.777314,24.89598,17.3,,3
Haerbin,Harbin,China,104,10196.8,10668.5,2281.829,2402.86,65083.1,159238.2,15373.7,28214.4,81394.4,1578.457,2766.986,7629.414,12.36482,33.87397,0.2252294,0.2237789,0.1175177,0.1107523,-0.0068976,0.0060908,0.1252794,0.1307939,0.1205952,-0.019198,0.1349884,0.1256063,0.0022718,0.0895838,0.0890297,0.0030723,0.0936526,0.2728167,0.0292293,0.1702633,0.1565976,0.1290185,0.1202759,0.0281463,0.0984226,0.2884651,0.0208639,0.138727,0.1282211,0.1679771,0.1347033,0.02262,0.1280434,0.2375199,0.0527832,0.1563466,0.1546717,0.1574946,0.0757448,0.0373959,16.03627,21.28119,4.38678,8.062448,8.978701,27.14304,19.12641,7.986866,0.0924045,0.1164828,0.2028498,0.0976405,0.1947912,0.1449878,0.06711,0.1507333,0.068311,0.0423791,0.093938,0.0658494,0.0772818,0.0440649,0.0410033,0.0810072,0.1365754,0.0914679,0.2573014,0.0592849,0.1873159,0.1799795,0.0147948,0.2931013,0.1053273,0.0985341,0.1270724,0.0928383,0.0507026,0.0951477,0.0594499,0.1131603,0.0365602,-0.0162556,-0.0159381,0.0217913,-0.0570285,-0.0324041,0.0034204,-0.0001353,0.132343,0.0983336,0.1836787,0.1215595,0.1266541,0.1078855,0.07076,0.1505776,0.0647471,0.1579392,0.0884679,0.22935,0.2571485,0.0822517,0.071013,0.0490825,0.1230914,0.1370292,0.0771279,0.3515778,0.1182366,0.055673,0.0829222,0.0543419,34.84179,58.05742,22.92212,14.89491,43.81567,94.75273,30.59516,23.04943,0.6498121,0.5959798,-0.0057485,10552.9,10654.8,2390.614,2161.04,7892,127.57978,380,1014.1837,3471,12.08955,202.5627,95.18562,1.128081,1.130817,2.644567,0.0888426,4.592527,68.636902,189.10742,0.0066141,0.0177442,0.0034356,0.0025576,,,,,,,,,5287974,21443312,523.3804,2008.647,2.28643,15.91447,9.8,,1
Hamburg,Hamburg,Germany,78,3048.9,3188.2,1584.4,1789.8,144380.8,186505.6,159686.9,168709.3,185095.3,53426.65,55334.48,58056.36,106.4815,103.4167,0.5613827,0.5196629,0.0098923,0.0055557,0.00827,0.0043127,0.0016089,0.0140726,0.0102721,0.0048333,-0.0169945,-0.0176812,0.0080131,0.011749,0.0047082,0.0112541,0.3097929,0.0048862,0.0335183,0.2555798,0.1447381,0.1459955,0.0745661,0.030923,0.3400986,0.0080279,0.0423325,0.2462887,0.1382914,0.1435523,0.0482273,0.0331813,0.3208983,0.0050071,0.0323654,0.2495144,0.1396261,0.142989,0.0875239,0.0220758,168.6318,34.82629,65.65936,69.62318,116.8803,65.34316,108.6401,260.8111,-0.004093,-0.022932,0.0042195,-0.0043967,0.0145009,0.003708,0.0292004,-0.0129519,0.0005472,-0.0196446,-0.0167623,0.0073613,0.0095945,0.0095978,0.0432852,-0.0006805,-0.0060279,-0.0613124,0.0133092,-0.0013968,-0.0615324,-0.0336103,-0.0456326,0.0389377,0.0122503,-0.0105846,0.0198891,0.0074006,0.0179757,0.0090168,0.0107541,0.0096366,0.0097814,0.0012354,-0.0125226,0.0148902,-0.0042409,0.0055588,0.0206675,-0.0046134,0.0056484,-0.021725,-0.0083559,0.010428,0.0101985,0.0092873,0.0504714,-0.0175055,0.1737261,0.0135289,0.0605639,0.3344291,0.1279555,0.2187381,0.0587938,0.0122645,0.1776735,0.0121801,0.0443066,0.3689239,0.1061012,0.2100793,0.0706224,0.0101129,167.4362,38.11009,67.72005,62.69938,121.9974,63.09921,114.8916,202.3702,0.5346452,0.5530554,0.0022595,3073.2,3090.7,1683.8,2863.2034,8057,524.66797,1308,1279.5757,3551,170.7237,898.0627,414.0084,1.16919,1.237619,7.265926,0.151684,9.134284,2050.074,2396.2483,0.668103,0.7717634,0.0245758,0.0261501,0.52117175,96.607117,216.76018,0.0001705,0.0313782,0.0679883,1.166737,1.243729,15090223,21912380,4958.018,6953,8.731943,33.28426,28.7,14.2,7
