metro,metro2,country,rank_300,Nominal GDP 2015,Nominal GDP per capita 2015,Output per worker 2015,Compound growth real GDP 2000-2015,Compound growth real GDP per capita 2000-2015,Compound growth output per worker 2000-2015,Traded Sector productivity differential 2015,Stock of foreign direct investment per capita 2009-2015,Stock of foreing direct onvestment 2009-2015,Share of publications in top 10 percent 2010-2013,Patents per capita 2008-2012,Stock of venture capital per capita 2006-2015,Share of population with tertiary Education 2015 or most recent year available,Aviation passengers 2014,Download Speeds 2015,label_cluster,cluster name
Dallas,"Dallas-Fort Worth-Arlington, TX",USA,17,458042.70000,64487.66000,120.35930,0.02777,0.00708,0.01478,0.04348,769.14050,5463.04790,0.15968,0.62125,0.86148,33.82046,97232664.00000,27.72445,2,Knowledge Centers
Delhi,Delhi,India,38,396449.20000,16860.56000,14.08651,0.08610,0.06195,0.05449,4.39127,311.31270,7320.02150,0.07368,0.02022,0.08442,14.90000,39967944.00000,4.03306,3,Emerging gateways
Denver,"Denver-Aurora-Lakewood, CO",USA,73,179881.60000,63916.32000,115.31330,0.01880,0.00199,0.00921,0.07114,553.72020,1558.35140,0.17573,0.70008,1.43605,42.58893,81332384.00000,35.32263,2,Knowledge Centers
Detroit,"Detroit-Warren-Dearborn, MI",USA,53,218080.40000,50692.28000,102.72260,-0.00153,0.00081,0.00709,-0.14616,1107.83200,4765.94190,0.13033,0.73318,0.17724,33.21073,45573496.00000,29.23072,6,American Middleweights
Dongguan,Dongguan,China,93,186042.10000,21975.98000,71.90227,0.13343,0.11412,0.03415,7.39514,598.75290,5068.86280,,0.00047,,4.30000,2933498.00000,24.19969,1,Factory China
East Rand,East Rand,South Africa,212,62491.90000,18904.29000,24.13965,0.03145,0.01906,0.02078,0.00836,154.30480,510.08542,,0.28467,,3.60000,23960372.00000,4.01761,3,Emerging gateways
Foshan,Foshan,China,61,234736.70000,31619.91000,47.22844,0.13155,0.10803,0.09434,4.17000,819.03500,6080.27000,0.11536,0.00057,,7.80000,282694.00000,29.42906,1,Factory China
Frankfurt am Main,Rhein-Main,Germany,46,270396.20000,60321.28000,107.69840,0.00686,0.00273,0.00136,0.20275,1874.62900,8403.21290,0.13989,1.50295,0.08575,32.10000,58221248.00000,32.26921,7,International Middleweights
Fuzhou,Fuzhou,China,115,159571.60000,21436.56000,30.57060,0.11852,0.10715,0.06687,2.29671,174.64270,1300.02260,0.11899,0.17011,0.01466,5.20000,19173672.00000,17.64507,1,Factory China
Guangzhou,Guangzhou,China,19,523553.70000,39800.35000,37.14836,0.12484,0.10513,0.06565,2.69724,1605.56400,21120.39600,0.08564,0.35813,0.04110,17.30000,82050296.00000,24.89598,3,Emerging gateways
Haerbin,Harbin,China,104,159238.20000,14926.02000,33.87397,0.11752,0.11075,0.12528,2.74931,202.56270,2161.04000,0.08884,0.01774,,9.80000,21443312.00000,15.91447,1,Factory China
Hamburg,Hamburg,Germany,78,186505.60000,58498.71000,103.41670,0.00989,0.00556,0.00161,0.16131,898.06270,2863.20340,0.15168,0.77176,0.06799,28.70000,21912380.00000,33.28426,7,International Middleweights
Hangzhou,Hangzhou,China,49,274968.70000,30819.52000,24.15479,0.11421,0.09642,0.02308,2.13303,774.77620,6912.47660,0.09135,0.29129,0.17281,21.60000,40250324.00000,31.12442,3,Emerging gateways
Hartford,"Hartford-West Hartford-East Hartford, CT",USA,133,101786.50000,84029.09000,144.06270,0.00980,0.00636,0.00949,0.33289,216.70480,262.49976,0.12843,1.71028,0.43246,39.51182,11152090.00000,30.95436,2,Knowledge Centers
Hefei,Hefei,China,113,156988.60000,25978.59000,25.39954,0.14677,0.12664,0.06723,2.29010,569.73900,3442.93240,,0.07499,0.00033,12.20000,10196833.00000,28.14283,1,Factory China
Hong Kong,Hong Kong,Hong Kong,16,413998.70000,56751.02000,69.47959,0.03685,0.03191,0.02523,0.00000,5699.15800,41575.35500,0.12248,0.24907,0.09708,27.70000,74750776.00000,103.01780,4,Asian Anchors
Houston,"Houston-The Woodlands-Sugar Land, TX",USA,13,505217.70000,75893.30000,143.05710,0.03433,0.01086,0.01577,0.43349,1278.41300,8510.32620,0.16856,1.62583,0.66970,31.94777,72764800.00000,34.13717,2,Knowledge Centers
Indianapolis,"Indianapolis-Carmel-Anderson, IN",USA,120,114936.40000,57791.33000,99.45900,0.01628,0.00427,0.00801,-0.05351,890.34180,1770.72690,0.14139,1.11886,0.57925,33.27250,13949302.00000,26.20728,6,American Middleweights
Istanbul,Istanbul,Turkey,25,449388.20000,30722.78000,44.69489,0.04143,0.02431,0.01285,0.77233,858.84460,12562.49200,0.07616,0.12760,0.00903,25.80000,76076656.00000,14.21538,3,Emerging gateways
Jinan,Jinan,China,98,174316.70000,24671.18000,23.27551,0.12339,0.10995,0.03194,1.71469,188.49310,1331.81670,,0.22643,0.00742,15.00000,16102260.00000,18.09616,3,Emerging gateways
Johannesburg,Johannesburg,South Africa,159,94095.90000,19912.79000,23.31027,0.04169,0.02275,0.02073,0.00616,1291.74900,6104.03220,0.11948,0.00671,0.00406,7.90000,2598247.00000,7.24738,3,Emerging gateways
Kansas City,"Kansas City, MO-KS",USA,128,110456.30000,52913.94000,94.13119,0.01267,0.00338,0.00842,-0.21731,667.46760,1393.31920,0.12106,0.30226,0.47440,36.89778,19405248.00000,54.94563,6,American Middleweights
Karlsruhe,Rhein-Neckar,Germany,97,159066.20000,52050.46000,96.64110,0.01233,0.00920,0.00538,0.09179,590.91450,1805.83460,0.14845,2.12419,0.16850,30.20000,1219269.00000,33.55956,7,International Middleweights
Katowice-Ostrava,Silesian-Moravian,Poland,111,136218.00000,27199.54000,36.94990,0.02915,0.03247,0.02554,0.19429,928.31590,4649.09910,,0.03300,0.00029,27.70000,3104006.00000,27.78888,3,Emerging gateways
Kitakyushu-Fukuoka,Fukuoka,Japan,58,194550.00000,34969.63000,82.86763,0.00989,0.00904,0.00929,-0.00997,104.16310,579.50098,0.07437,0.29990,0.00262,33.10000,18733280.00000,25.21059,7,International Middleweights
Köln- Düsseldorf,Rhein-Ruhr,Germany,12,548378.90000,47735.34000,93.15657,0.00829,0.00848,0.00415,0.06022,811.47260,9322.11620,0.14274,0.93363,0.04446,26.40000,45553040.00000,32.90224,7,International Middleweights
London,London,United Kingdom,5,831100.00000,55947.49000,98.89494,0.02370,0.01326,0.01127,0.30359,5097.65100,75725.60200,0.17694,0.43492,0.82279,49.50000,178000000.00000,30.57343,5,Global Giants
Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",USA,3,927561.80000,69532.02000,143.41850,0.01903,0.01404,0.01550,0.40572,838.76770,11189.21900,0.18807,0.79552,1.67508,33.91684,140700000.00000,47.17487,5,Global Giants
Madrid,Madrid,Spain,42,315507.10000,47905.00000,91.24337,0.02027,0.00782,0.00766,0.20138,1758.54700,11581.96400,0.09647,0.31822,0.45623,47.30000,43931620.00000,34.61652,7,International Middleweights
Melbourne,Melbourne,Australia,65,197774.30000,43689.65000,88.44936,0.02926,0.01099,0.00781,-0.17772,2807.65500,12709.69000,0.14261,0.53466,0.08362,36.00000,42607660.00000,17.91620,7,International Middleweights
Mexico City,Mexico City,Mexico,18,485620.60000,23016.83000,26.09747,0.02182,0.01089,0.00549,0.42542,533.15940,11248.86400,0.06210,0.01905,0.01414,20.90000,36442368.00000,16.43582,3,Emerging gateways
Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",USA,41,282513.90000,46989.07000,100.44650,0.01651,0.00444,0.00674,-0.04691,1254.98300,7545.37600,0.14323,0.42012,0.47867,34.50502,99734768.00000,30.38176,6,American Middleweights
Milan,Milano,Italy,34,380609.00000,49286.36000,104.67520,0.00466,-0.00259,-0.00073,0.18105,1264.78200,9767.15330,0.12128,0.52249,0.04483,19.20000,46922408.00000,12.19301,7,International Middleweights
Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",USA,51,227417.30000,64523.19000,105.23290,0.01586,0.00599,0.01130,-0.09853,438.37750,1545.09800,0.16585,2.39470,1.07526,43.29288,49663344.00000,25.47022,2,Knowledge Centers
Monterrey,Monterrey,Mexico,110,140512.00000,31906.27000,37.16348,0.03037,0.01361,0.00823,0.76007,2196.43400,9672.87600,,0.03054,0.01582,22.80000,9956207.00000,16.74977,3,Emerging gateways
Montreal,Montreal,Canada,86,157733.70000,38871.73000,75.15020,0.01529,0.00523,0.00291,-0.20392,2433.32200,9873.93460,0.13313,0.54177,0.59825,32.20000,19934948.00000,18.90094,7,International Middleweights
Moscow,Moscow,Russia,10,749685.70000,61482.40000,39.62915,0.03359,0.02188,0.01207,1.44908,1482.14000,18072.47100,0.08005,0.21263,0.26996,42.20000,62402240.00000,31.66323,4,Asian Anchors
Mumbai,Mumbai,India,89,221191.90000,10147.07000,6.27648,0.07771,0.06205,0.05519,0.42538,817.64470,17823.50800,0.08017,0.05450,0.23972,8.20000,9235294.00000,6.45079,3,Emerging gateways
Munich,Munchen-Augsburg,Germany,48,265693.40000,66738.69000,112.68350,0.01486,0.00472,0.00420,0.28558,1147.97000,4570.18260,0.16110,1.88555,0.39916,34.10000,45171500.00000,25.97442,7,International Middleweights
Nagoya,Nagoya,Japan,22,377074.70000,41672.16000,90.86970,0.01088,0.00782,0.01153,0.03654,643.55770,5823.29640,0.08046,1.84401,0.00032,34.60000,14740747.00000,86.93176,7,International Middleweights
