metro,label_cluster,cluster name,gmm14_2015_nomgdp,gdp_pc_nom2015,nom_prod15,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_producti_15,trade_prod_diff,fdipc15,stockvalue15,share10pc13,patentspc12,vcpc15,ed15,pass15,down15
Foshan,1,Factory China,234736.7,31619.91,91.5816927675,0.1315479,0.1080313,0.0943422,4.170004,819.035,6080.27,0.1153566,0.0005707,,7.8,282694,29.42906
Frankfurt am Main,7,International Middleweights,270396.2,60321.28,106.7451738976,0.0068636,0.0027293,0.001358,0.2027526,1874.629,8403.2129,0.1398894,1.502952,0.0857517,32.1,58221248,32.26921
Fuzhou,1,Factory China,159571.6,21436.56,67.3604849467,0.1185155,0.1071481,0.0668702,2.296714,174.6427,1300.0226,0.1189941,0.1701063,0.01466,5.2,19173672,17.64507
Guangzhou,3,Emerging gateways,523553.7,39800.35,78.6456756075,0.1248365,0.1051285,0.0656526,2.697237,1605.564,21120.396,0.0856356,0.3581304,0.0410986,17.3,82050296,24.89598
Haerbin,1,Factory China,159238.2,14926.02,66.2702779188,0.1175177,0.1107523,0.1252794,2.749314,202.5627,2161.04,0.0888426,0.0177442,,9.8,21443312,15.91447
Hamburg,7,International Middleweights,186505.6,58498.71,104.2047156107,0.0098923,0.0055557,0.0016089,0.1613066,898.0627,2863.2034,0.151684,0.7717634,0.0679883,28.7,21912380,33.28426
Hangzhou,3,Emerging gateways,274968.7,30819.52,53.4646509819,0.114205,0.0964214,0.0230772,2.133025,774.7762,6912.4766,0.0913476,0.2912891,0.1728141,21.6,40250324,31.12442
Hartford,2,Knowledge Centers,101786.5,84029.09,158.4274996887,0.0097993,0.0063588,0.0094864,0.332886,216.7048,262.49976,0.1284297,1.710279,0.4324647,39.51182,11152090,30.95436
Hefei,1,Factory China,156988.6,25978.59,62.2743284198,0.1467686,0.1266395,0.0672337,2.2901,569.739,3442.9324,,0.0749938,0.0003323,12.2,10196833,28.14283
Hong Kong,4,Asian Anchors,413998.7,56751.02,109.0043970511,0.0368508,0.0319069,0.0252336,0,5699.158,41575.355,0.1224769,0.2490692,0.0970796,27.7,74750776,103.0178
Houston,2,Knowledge Centers,505217.7,75893.3,166.8078805048,0.0343316,0.0108553,0.0157716,0.4334854,1278.413,8510.3262,0.1685644,1.625831,0.6697017,31.94777,72764800,34.13717
Indianapolis,6,American Middleweights,114936.4,57791.33,111.2905224834,0.0162797,0.0042698,0.0080118,-0.0535129,890.3418,1770.7269,0.1413878,1.118857,0.5792491,33.2725,13949302,26.20728
Istanbul,3,Emerging gateways,449388.2,30722.78,85.1372006669,0.0414303,0.02431,0.0128467,0.7723312,858.8446,12562.492,0.0761571,0.127597,0.0090326,25.8,76076656,14.21538
Jinan,3,Emerging gateways,174316.7,24671.18,47.6067019882,0.1233895,0.1099495,0.0319368,1.714687,188.4931,1331.8167,,0.2264262,0.0074163,15,16102260,18.09616
Johannesburg,3,Emerging gateways,94095.9,19912.79,47.8689016635,0.0416908,0.0227504,0.0207254,0.0061606,1291.749,6104.0322,0.1194839,0.0067102,0.0040586,7.9,2598247,7.247376
Kansas City,6,American Middleweights,110456.3,52913.94,103.5495453267,0.0126705,0.0033796,0.0084215,-0.2173102,667.4676,1393.3192,0.1210558,0.3022557,0.4743968,36.89778,19405248,54.94563
