metro,metro2,country,rank_300,pop_2015,tot_emp2015,2015_nomgdp,2015_realgdp,gdp_pc_real2015,productivity2015,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_emp15,compound_growth_pop15,fdi_pc_09-15,share_publications_top_10_10-13,patents_pc_08-12,venture_capital_pc06-15,passengers_pc_2014,download_speed2015,share_tertiary_education2015,label_cluster
Denver,"Denver-Aurora-Lakewood, CO",USA,73,2814.33,1413.39,179881.6,162982.6,57911.7,115.3133,0.0187982,0.0019906,0.0095021,0.0167742,553.7202,0.1757334,0.7000777,1.436048,29512.57,35.32263,42.58893,2
Hartford,"Hartford-West Hartford-East Hartford, CT",USA,133,1211.324,642.48,101786.5,92557.38,76410.09,144.0627,0.0097993,0.0063588,0.00031,0.0034188,216.7048,0.1284297,1.710279,0.4324647,9192.104,30.95436,39.51182,2
Houston,"Houston-The Woodlands-Sugar Land, TX",USA,13,6656.947,3028.74,505217.7,433282.6,65087.29,143.0571,0.0343316,0.0108553,0.0182719,0.0232243,1278.413,0.1685644,1.625831,0.6697017,11198.26,34.13717,31.94777,2
Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",USA,51,3524.583,1960.79,227417.3,206339.7,58543.01,105.2329,0.0158588,0.0059889,0.004511,0.0098112,438.3775,0.1658519,2.394704,1.075263,14207.16,25.47022,43.29288,2
Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",USA,26,6069.875,2867.51,363643.7,328911.6,54187.54,114.7029,0.0103373,0.0060168,0.0017878,0.0042947,416.633,0.1677984,1.139837,1.041276,7451.119,39.0898,36.32897,2
Portland,"Portland-Vancouver-Hillsboro, OR-WA",USA,82,2389.228,1141.93,159218.7,150751.6,63096.36,132.0147,0.0393545,0.0248386,0.008078,0.0141641,881.8379,,1.627327,0.9670958,12386.56,36.37465,38.82481,2
San Diego,"San Diego-Carlsbad, CA",USA,56,3299.521,1503.87,217562.3,197126.3,59743.91,131.0793,0.021322,0.010861,0.0083358,0.0103486,625.7506,0.1916397,5.187512,4.517633,10908.89,29.77917,38.15306,2
San Francisco,"San Francisco-Oakland-Hayward, CA",USA,28,4656.132,2279.67,375054.6,339858.8,72991.66,149.0825,0.0168737,0.008873,0.0031504,0.0079304,1625.799,0.2253129,3.239079,19.18391,21030.39,36.63614,46.66284,2
San Jose,"San Jose-Sunnyvale-Santa Clara, CA",USA,80,1976.836,1055.28,180756.5,170695.8,86347.97,161.754,0.0261684,0.0174257,-0.0003641,0.008593,1795.797,0.2311504,9.420778,30.83733,9028.771,37.56134,47.35563,2
Seattle,"Seattle-Tacoma-Bellevue, WA",USA,40,3733.58,1952.25,285633.9,261157.9,69948.38,133.7728,0.0215904,0.0079582,0.0085422,0.0135246,435.3487,0.1953338,2.104715,3.286978,16882.74,41.78311,43.56554,2
Stockholm,Stockholm,Sweden,91,2614.5,1439.3,167911.4,181882.2,69566.73,126.3685,0.0297529,0.01703,0.011386,0.0125099,1641.065,0.1407724,2.624813,1.026399,11943.38,63.99936,42,2
Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",USA,14,6097.684,3264.27,454088.3,412346.7,67623.5,126.3213,0.0233856,0.0080705,0.0102322,0.0151925,1016.461,0.1543726,0.6514828,1.814353,10931.09,35.33204,47.76428,2
Zurich,Zurich,Switzerland,125,1972,1289.9,135595.8,167211.8,84793,129.6316,0.0195961,0.0069942,0.0168857,0.0125143,2551.771,0.1779609,1.506555,0.4980047,16033.9,51.82592,42,2
Ankara,Ankara,Turkey,129,5225.7,1837.7,133934.1,70260.3,13445.14,38.23273,0.0398513,0.0205605,0.0348747,0.0189022,238.4528,0.0728915,0.0541424,0.0001148,2746.463,13.56347,33.9,3
Brasilia,Brasilia,Brazil,92,4076.3,2126.5,159586.5,100651.2,24691.8,47.33186,0.0341938,0.0121477,0.0354685,0.0217815,175.9453,0.0699398,0.0109127,8.65E-05,5117.023,11.65097,17.7,3
Busan-Ulsan,Busan,South Korea,36,7812.3,3883.8,305931.3,181293.5,23206.16,46.67941,0.0344793,0.0332724,0.0083494,0.001168,828.0954,0.065457,0.4641186,0.0005684,1917.64,95.87917,33.4,3
Cape Town,Cape Town,South Africa,201,3976,1476.6,66599.1,32264.3,8114.764,21.8504,0.0295487,0.0112227,0.0108672,0.0181227,766.191,0.1529824,0.0924079,0.0469677,3625.622,5.985496,6.1,3
Chongqing,Chongqing,China,33,30159.1,17337.9,425471.7,204626.5,6784.901,11.80227,0.1285609,0.1242855,0.0028566,0.0038028,792.4709,0.0725721,0.0119343,0.0031116,1526.76,18.65015,5.5,3
Delhi,Delhi,India,38,23513.4,6775.1,396449.2,95437.5,4058.856,14.08651,0.0860956,0.0619535,0.0299713,0.0227336,311.3127,0.0736817,0.0202195,0.0844237,1734.727,4.033063,14.9,3
East Rand,East Rand,South Africa,212,3305.7,1250.3,62491.9,30181.8,9130.229,24.13965,0.031448,0.0190595,0.0104483,0.0121567,154.3048,,0.284669,,7307.665,4.017612,3.6,3
Guangzhou,Guangzhou,China,19,13154.5,6657.12,523553.7,247301.1,18799.73,37.14836,0.1248365,0.1051285,0.0555377,0.0178331,1605.564,0.0856356,0.3581304,0.0410986,6300.801,24.89598,17.3,3
Hangzhou,Hangzhou,China,49,8921.9,5143,274968.7,124228.1,13923.95,24.15479,0.114205,0.0964214,0.0890722,0.0162196,774.7762,0.0913476,0.2912891,0.1728141,4543.542,31.12442,21.6,3
Istanbul,Istanbul,Turkey,25,14627.2,5278.4,449388.2,235917.5,16128.68,44.69489,0.0414303,0.02431,0.0282211,0.016714,858.8446,0.0761571,0.127597,0.0090326,5292.289,14.21538,25.8,3
Jinan,Jinan,China,98,7065.6,3661.6,174316.7,85225.6,12062.05,23.27551,0.1233895,0.1099495,0.0886224,0.0121087,188.4931,,0.2264262,0.0074163,2289.171,18.09616,15,3
Johannesburg,Johannesburg,South Africa,159,4725.4,1965.7,94095.9,45821,9696.745,23.31027,0.0416908,0.0227504,0.0205397,0.0185191,1291.749,0.1194839,0.0067102,0.0040586,556.084,7.247376,7.9,3
Katowice-Ostrava,Silesian-Moravian,Poland,111,5008.1,2055.8,136218,75961.6,15167.75,36.9499,0.0291508,0.0324671,0.0035252,-0.0032119,928.3159,,0.0329969,0.0002947,618.7469,27.78888,27.7,3
Mexico City,Mexico City,Mexico,18,21098.5,9196.1,485620.6,239994.9,11374.97,26.09747,0.0218169,0.0108852,0.0162384,0.010814,533.1594,0.0621047,0.0190508,0.0141419,1742.92,16.43582,20.9,3
Monterrey,Monterrey,Mexico,110,4403.9,1945.8,140512,72312.7,16420.15,37.16348,0.0303713,0.0136109,0.021961,0.0165354,2196.434,,0.0305428,0.015819,2293.37,16.74977,22.8,3
Mumbai,Mumbai,India,89,21798.6,8338.3,221191.9,52335.2,2400.851,6.276483,0.0777053,0.0620499,0.0213363,0.0147407,817.6447,0.0801734,0.054495,0.239716,428.6792,6.450785,8.2,3
Nanjing,Nanjing,China,55,8244.7,3480.92,271933.7,114459.9,13882.85,32.88208,0.1254618,0.1032084,0.0550045,0.0201715,1386.055,0.0847738,0.4123585,0.0466095,3323.053,34.48597,22.1,3
Ningbo,Ningbo,China,64,7724,4981.78,233000,105532.3,13662.91,21.18365,0.1113394,0.0937017,0.0928308,0.0161266,1601.871,,0.0005171,0,2409.392,20.69105,11.4,3
Pretoria,Pretoria,South Africa,229,3199.5,1226,61240.2,29259.7,9145.085,23.86599,0.0410834,0.0155763,0.0255277,0.0251159,922.604,0.0779621,0.0022609,0,0.0034998,6.467832,7.8,3
Rio de Janeiro,Rio de Janeiro,Brazil,67,12171.7,5579.1,233237.9,136249.5,11193.96,24.42141,0.0123228,0.0061331,0.0142096,0.006152,1399.359,0.0696646,0.0309557,0.0181314,3154.674,14.50432,12,3
Saint Petersburg,Saint Petersburg,Russia,114,5190.1,2911.8,158084.3,65597.4,12638.95,22.52813,0.0535018,0.0463056,0.0160431,0.0068778,2242.069,0.0765305,0.1348855,0.0273132,3112.924,30.84731,36.5,3
Santiago,Santiago,Chile,71,7299.8,3300.6,213907.8,108121.5,14811.57,32.75813,0.0456195,0.0330362,0.0231078,0.0121809,1196.585,0.1013437,0.0503175,0.021186,2358.428,15.5397,38.8,3
